Tipologia;Ragione_sociale;Comune;Provincia;Indirizzo;CAP;Telefono;Email;Sito_Web;Dipendenti;Data_convenzione;Settore;Codice_ATECO;Descrizione
AZIENDA;ACCENTURE S.P.A.;MILANO;MI;VIA MAURIZIO QUADRO, 17;20100;;cristina.morazzoni@accenture.com;www.accenture.com;500;;INFORMATICA;;
AZIENDA;ACCIAIERIE DI VERONA;OSOPPO;UD;ZONA INDUSTRIALE RIVOLI;33010;0458058515;riccardo.olivieri@pittini.it;;350;14-03-2018;ELETTRONICA;24.10.00;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe
AZIENDA;ACI SNC DI GANGI ELEONORA L.C.;LONATO DEL GARDA;BS;VIA ILARIA ALPI 10;25017;0309131025;eleonora.digangi@amatic.it;;7;;ELETTRONICA;26.11.09;Fabbricazione di altri componenti elettronici
AZIENDA;ACLI PROVINCIALI DI VERONA;VERONA;VR;VIA SCRIMINARI 24A;37100;0459275000;martina.tommasi@acliverona.it;www.acliverona.it;4;24-05-2019;INFORMATICA;94.99.10;Attività di organizzazioni per la tutela degli interessi e dei diritti dei cittadini
AZIENDA;ACRAM S.R.L.;SANT'AMBROGIO DI VALPOLICELLA;VR;LOC. PIGNA, 13;37010;0456835411;info@acram.it;http://www.acram.it;;;ELETTRONICA;;
AZIENDA;ADAMI AUTOTRASPORTI S.P.A.;ARBIZZANO;VR;VIA VALPOLICELLA 74;37024;0458515111;info@adamitrasporti.com;www.adamitrasporti.com;;;LOGISTICA;;
AZIENDA;ADAMI TECNICA BILIARDI SRL;VERONA;VR;VIA LAZZARETTO 83/A;37100;045528169;adamibiliardi@adamibiliardi.com;www.adamibiliardi.com;5;;;92.00.02;Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone
AZIENDA;ADD VALUE S.P.A.;VERONA;VR;VIA PACINOTTI, 28;37135;0458282711;daniela.sarigu@addvalue.it;;;;INFORMATICA;;
AZIENDA;AELLE DI ORIANA TODESCO;ZEVIO ;VR;VIA 1 MAGGIO 157;37059;045601438;oriana.todesco@gmail.com;aelleverona.it;;;INFORMATICA;;
AZIENDA;AEMMETEL S.R.L.;VERONA;VR;VIA XXVIII GENNAIO, 27;37136;045500399;amministrazione@pec.aemmetel.com;www.aemmetel.com;5;;INFORMATICA;;
ENTE PUBBLICO;AERONAUTICA - 3° STORMO VILLAFRANCA;VILLAFRANCA DI VERONA;VR;VIA CALURI 1;37069;0456332214;;;;;;;
AZIENDA;AERRE SISTEMI ELETTRONICI;CASTELNUOVO DEL GARDA;VR;VIA PASQUE VERONESI;37014;3281334489;;;;;ELETTRONICA;;
AZIENDA;AFTECH SAS DI FERRARI ALBERTO;VERONA;VR;VIA ANTONIO DA LEGNAGO;37141;0458840972;aftech@aftech.it;;;;COSTRUZIONE DEL MEZZO;;
AZIENDA;AGRATI-FSP SRL;VERONA;VR;VIA SOMMACAMPAGNA 49A;37100;0458515811;info-fsp@agrati.com;;52;10-05-2019;LOGISTICA;46.74.1;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
AZIENDA;AGRICOLA ITALIANA ALIMENTARE  SPA;VERONA;VR;PIAZZALE APOLLINARE VERONESI, 1;36020;0458097511;;;695;;LOGISTICA;10.91.00;Produzione di mangimi per l'alimentazione degli animali da allevamento
AZIENDA;AGRICOLA RIPARAZIONE S.N.C.;SANGUINETTO;VR;VIA CA DE MICHELI 62/A;37058;0442365290;info@agricolariparazione.it;;5;;COSTRUZIONE DEL MEZZO;33.12.60;Riparazione e manutenzione di trattori agricoli
AZIENDA;AGRILAND 24 SRL;ALA;TN;CORSO PASSO BUOLE 5/A;38061;;info@agriland24.com;;2;27-05-2019;INFORMATICA;47.91.9;
AZIENDA;AGRISERVICE 2016 SRL;SOMMACAMPAGNA;VR;VIA DELL'INDUSTRIA,33;37066;045515188;commerciale@agriservice2016.it;www.agriservicespa.it;12;;INFORMATICA;;
AZIENDA;AGSM VERONA SPA;VERONA;VR;LUNGADIGE  GALTAROSSA, 8;37133;0458677266;marco.zanotto@agsm.it;http://www.agsm.it/;;;;;
AZIENDA;AIDI SRL;BUTTAPIETRA;VR;VIALE DEL LAVORO 51;37060;0456660183;info@aidisrl.it;www.aidisrl.it;9;;INFORMATICA;466999;
AZIENDA;AITEMA S.R.L.;VERONA;VR;STRADA DELL'ALPO, 64/E;37136;0458538002;info@aitema.com;;2;;INFORMATICA;;
AZIENDA;AL.BO 2 SRL;VERONA;VR;STRADA DELLE TRINCEE 15A;37100;0458550775;info@albo2.it;;10;;ELETTRONICA;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;ALBA TECNOLOGY SOC COOP;VERONA;VR;VIALE DEL LAVORO 21;37100;0455112022;albatecnology@legalmail.it;;6;;LOGISTICA;38.75.96;
AZIENDA;ALBI DI ALBI GIUSEPPE;SAN MARTINO BUON ALBERGO;VR;VIALE DEL LAVORO 17;37036;;albi@albi.it;www.camperallestimenti.it;0;;COSTRUZIONE DEL MEZZO;29.2;FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
AZIENDA;ALCOFER S.R.L.;VERONA;VR;VIA SALISBURGO, 5;37136;045500051;sara@alcofer.it;tuttoferramenta.it;;22-05-2019;INFORMATICA;;
AZIENDA;ALDEBRA S.P.A.;VERONA;VR;VIA FERMI 13/C;37135;;michele.rubino@aldebra.com;www.aldebra.com/it/soluzioni-informatiche;;;INFORMATICA;;
AZIENDA;ALFA SERVICE S.R.L.;SONA;VR;VIA LOMBARDIA, 5;37060;0458621181;costanzi@alfaservice.it;www.alfaservice.it;3;;INFORMATICA;;
AZIENDA;ALL SERVICES  SRL;VERONA;VR;VIA DEL COMMERCIO, 10;37100;045504126;olent@all-services.it;http://www.all-services.it/;;;;;
AZIENDA;ALOISI ANDREA;SOMMACAMPAGNA;VR;VIA DEGLI ALPINI 3;37066;3487650469;andrea.aloisi.94@alice.it;;;;;35.19.07;
AZIENDA;ALPEGO S.P.A.;LONIGO;VI;VIA G. E G. CENZATO,9;36045;0444646100;  valeria.zanin@alpego.com;www.alpego.com;86;;LOGISTICA;28.30.9;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
AZIENDA;ALTURAS SISTEMI S.R.L.;VILLAFRANCA DI VERONA;VR;VIA VENEZIA, 1;37069;0456305279;amministrazione@alturas.it;www.alturas.it;;;INFORMATICA;;
AZIENDA;AMBROSI IMPIANTI SNC;ERBE';VR;VIA DON GIOVANNI VERONESE 10;37060;0457325067;anbrosi-impianti@ambrosi-impianti.it;;4;;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;AMBROSI MATTEO;VERONA;VR;VIALE DELL'INDUSTRIA;37135;3488561640;matteoambrosi@tiscali.it;;1;;;;
AZIENDA;AMIA - AZIENDA MULTISERVIZI DI IGIENE AMBIENTALE DI VERONA;VERONA;VR;VIA BARTOLOMEO AVESANI 31;37135;0458063459;amia.verona@amiavr.it;www.amiavr.it;600;;;38.21.09;Trattamento e smaltimento di altri rifiuti non pericolosi
AZIENDA;AMT AZIENDA MOBILITA' E TRASPORTI S.P.A.;VERONA;VR;VIA F. TORBIDO,1;37133;0452320025;info@amt.it;www.amt.it;53;27-05-2019;;52.21.25;
AZIENDA;ANDERLONI ARREDAMENTI;VILLAFRANCA DI VERONA;VR;VIA DELL'ARTIGIANATO, 1;37069;0458600723;info@anderloniarredamenti.it;www.anderloniarredamenti.it;;;;;
AZIENDA;ANDREA BURATO CONSULENZE INFORMATICHE;NEGRAR;VR;VIA VALPOLICELLA,35;37024;3467229679;a.b@andreaburato.it;;1;;;;
AZIENDA;ANDREA GNESATO;VERONA;VR;PIZZA SAN VALENTINO 5;37125;3478197328;andrea@zeta.uno;www.zeta.uno;;;;;
AZIENDA;ANDREA IMPIANTI DI TEZZA ANDREA;ROVERE';VR;VIA S. ROCCO, 1;37028;0457848100;info@andreaimpianti.com;;8;09-04-2018;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;ANODALL EXTRUSION S.P.A.;TREVENZUOLO;VR;VIA DEL LAVORO, 1;37060;0457350600;claudio.dalfini@anodallgroup.com;www.anodallgroup.com;;;;;
AZIENDA;ANS;SOMMACAMPAGNA;VR;VIA SABAINA 60;37066;0458960116;info@ansystem.eu;www.ansystem.eu;;;;95.11;Riparazione di computer e periferiche
AZIENDA;ANT SRL;SAN MARTINO BUON ALBERGO;VR;VIA DELLA CONCORDIA 4;37036;045 878 1380;amministrazione@antsrl.eu;www.antsrl.eu;;;;;
AZIENDA;ANTICA TRATTORIA DA BEPI SNC;MARANO DI VALPOLICELLA;VR;VIA VALPOLICELLA;37020;0457755001;vitozardini@gmail.com;www.anticatrattoriadabepi.it;;;;;
AZIENDA;ANTICHITA' SAVI DI SAVI GIUSEPPE;VERONA;VR;VICOLO STELLA 5;37100;045596213;princethebest.70@gmail.com;;;;;;
AZIENDA;ANTOLINI TRASPORTI SPEDIZIONI SRL;SAN PIETRO IN CARIANO;VR;VIA DANTE 3/5;37029;0457701422;paola@antolinitrasporti.it;;48;10-06-2019;;49.41;Trasporto di merci su strada
AZIENDA;AP CONSULTING  S.R.L.;SAN MARTINO BUON ALBERGO;VR;VIA ARCHIMEDE, 10;37036;0456888530;amministrazione@apconsulting,net;www.apconsulting.net;10;;;62.02.00;Consulenza nel settore delle tecnologie dell'informatica
AZIENDA;AQUEST SRL;S.GIOVANNI LUPATOTO;VR;PIAZZA ZINELLI 1;37057;0458752845;sara.pasquetto@aquest.it;;;;;;
AZIENDA;ARALDO SRL;BOSCO CHIESANUOVA;VR;VIA CARCERERI, 22/A;37021;0457080485;amministrazione@araldoartedelgusto.it;http://www.araldoartedelgusto.it/;;;;;
AZIENDA;ARBETTI MOTORS S.R.L.;VERONA;VR;STRADA DELLA GIARA, 7;37030;045522200;info@arbettimotors.it;;20;;;45.20.20;Riparazione di carrozzerie di autoveicoli
AZIENDA;ARCA PROGETTI SRL;GREZZANA-STALLAVENA;VR;VIA SEGAI 8;37023;3496494709;giuseppe.nicotra@istruzioneverona.it;http://www.veia.it/;;;;;
AZIENDA;ARCA SPA;VERONA;VR;VIA DELL'ARTIGIANATO 6B;37135;0458201755;magazzino@arcaricambi.it;www.arcaricambi.it;14;;;45.32;Commercio al dettaglio di parti e accessori di autoveicoli
AZIENDA;ARCANET S.R.L.;SAN BONIFACIO;VR;LOC.  CROSARON, 18/C;37047;0456103766;amministrazione@arcanetservice.it;https://arcanetsrl.it/;;;;;
AZIENDA;ARCESE TRASPORTI SPA;ARCO;TN;VIA ALDO MORO 95;38062;0454573216;recruiting@arcese.com;;919;23-05-2019;;49.41.00;Trasporto di merci su strada
AZIENDA;ARCHITETTO QUIRINALI GIAMPAOLO;BOVOLONE;VR;VIA GARIBALDI 48;37051;0456901354;studioquirinali@gmail.com;www.giampaoloquirinali.com;;;;711100;
AZIENDA;ARCHIVA S.R.L.;VILLAFRANCA DI VERONA;VR;VIA SPAGNA, 24;37069;045288000;stefano.amigliani@archivagroup.it;archivagroup.it;;;;;
ENTE PUBBLICO;ARCHIVIO DI STATO;VERONA;VR;VIA SANTA TERESA, 6/12;37135;045594580;as-vr@beniculturali.it;http://www.archiviodistatoverona.beniculturali.it;;;;;
AZIENDA;ARDA S.P.A.;PESCHIERA DEL GARDA;VR;STRADA DEI FRATI, 7;37019;0457550333;f.bonini@arda.it;www.arda.it;;;;;
AZIENDA;ARDUINI & NERBOLDI;VERONA;VR;VIA DELLA MECCANICA 32;37139;0458515411;nicoletta.braga@eurodiesel.it;www.eurodiesel.it;50;02-02-2016;;;
AZIENDA;ARDUINI E NERBOLDI SRL;VERONA;VR;VIA DELLA MECCANICA 32;37139;0458515450;;;57;20-05-2019;COSTRUZIONE DEL MEZZO;45.20.10;Riparazioni meccaniche di autoveicoli
AZIENDA;AROMI S.R.L.;NEGRAR;VR;VIA CASETTE, 31;37024;0457111622;sara@aromicreativi.com;;;;;;
AZIENDA;ARTE PASTAIA SRL;SAN MARTINO BUON ALBERGO;VR;VIA DEL LAVORO, 20;37036;0458781879;info@artepastaia.it;http://www.artepastaia.it/contatti.html;;;;;
AZIENDA;ARTIGIANA NEW DI PERTILE RENATO;SAN BONIFACIO;VR;VIA A. VOLTA 4;37047;;artigiananew@virgilio.it;;;23-05-2019;ELETTRONICA;27.11;Fabbricazione di motori, generatori e trasformatori elettrici
AZIENDA;ASD FOOTBALL FOR FUN;VERONA;VR;VIA CHIODA 38;37136;3490065685;gasfabio@yahoo.it;www.footballforfun.it;8;;;93.19.10;Enti e organizzazioni sportive, promozione di eventi sportivi
AZIENDA;ASD NOI LA SORGENTE;VERONA;VR;VIA DEL QUADRATO 2;37100;3357325495;segreteria@asdnoisorgente.it;www.asdnoisorgente.it;;;;;
ASSOCIAZIONE;ASD TEAM BMX VERONA;VERONA;VR;VIA BELVEDERE 151;37131;;lindaspiazzi@libero.it;;;;;;
AZIENDA;ASS.BANCO ALIMENTARE DELVENETO ONLUS;VERONA;VR;VIA E.TORRICELLI 18;37139;045847929;info@veneto.bancoalimentare.it;www.bancoalimentare.it/it/veneto;2;;;960909;
AZIENDA;ASSALI STEFEN SRL;ZEVIO;VR;VIA COPERNICO, 1;37059;0458731600;segreteria.direzione@assalistefen.com;http://www.assalistefen.com/ita/index.php;;03-12-2015;;;
ASSOCIAZIONE;ASSOCIAZIONE 'VOLEREVOLARE ONLUS';CORREGGIO;RE;VIA FAZZANO 83;42015;3921089132;;;3;;;;
AZIENDA;ASSOCIAZIONE NAZIONALE MUTILATI ED INVALIDI CIVILI DI VERONA;VERONA;VR;VIA SANTA MARIA ROCCA MAGGIORE;37100;045 8013437;;www.anmicverona.org;2;23-05-2019;INFORMATICA;;
AZIENDA;ASSOCIAZIONE SPORTIVA DILETTANTISTICA;BUTTAPIETRA;VR;VIA GARIBALDI,17;37060;0456660996;;;;;;93;
AZIENDA;ATIMAR SAS;SETTIMO MILANESE;MI;VIA CARDUCCI,38;20019;023286111;;;13;;;;
AZIENDA;ATTUA S.R.L.;VERONA;VR;VIA ROVEGGIA, 43;37136;045/8271211;info@attua.it;www.attua.it;4;09-05-2019;;62.01;Produzione di software non connesso all'edizione
AZIENDA;AUDIO SERVICE MULTIMEDIA DI COMPAROTTO STEFANO;S.GIOVANNI LUPATOTO;VR;VIA GARIBALDI,5/23;37057;045583440;audioservicevr.com;audioservicevr.com;1;;;;
AZIENDA;AUDIO VIDEO VERONA;VERONA;VR;C.SO MILANO, 112;37138;045575599;info@audiovideoverona.191.it;;;;;;
AZIENDA;AUDIOVIDEOTECNICA S.N.C.;CEREA;VR;VIA CALCARA 38B;37053;044280744;info@audiovideotecnica.it;www.audiovideotecnica.it;4;;;;
AZIENDA;AUDIOVIDEOVERONA SERVICE SNC;SONA;VR;VIA PIEMONTE, 10;37060;045575599;info@audiovideoveronaservice.it;www.audiovideoveronaservice.it;;;;;
ENTE PUBBLICO;AULSS 9  SCALIGERA VERONA;VERONA;VR;VIA DELLA VALVERDE, 42;37122;0458075511;direttore.formazione@aulss9.veneto.it;https://www.aulss9.veneto.it/;;30-05-2015;;;
AZIENDA;AUTECHNO SAS;VILLAFRANCA DI VERONA;VR;VIA A.POIANI 8;37069;045512712;info@autechno.it;www.autechno.it;4;;;;AUTOMAZIONE INDUSTRIALE
AZIENDA;AUTODESI SNC;BUSSOLENGO;VR;VIA I MAGGIO- ZONA ARTIGIANALE;37012;0456767488;stefano@autodesi.it;;;;;;
AZIENDA;AUTOFFICINA DE TOGNI SRL;ZEVIO;VR;VIA G.CARDUCCI 52;37059;045545922;amministrazione@detogniauto.it;www.detogniauto.it;14;13-03-2019;;45.20.1;Riparazioni meccaniche di autoveicoli
AZIENDA;AUTOFFICINA MARCAZZAN FLAVIO;SAN GIOVANNI ILARIONE;VR;VIA ALPONE 8;37035;0456550705;flavio.marcazzan68@gmail.com;;;;;452010;
AZIENDA;AUTOFFICINA POIANA RAFFAELE;VERONA;VR;VIA DELLE COSTE,20;37138;045567440;officina.poiana@gmail.com;;;03-12-2015;;;
AZIENDA;AUTOFFICINA R & B S.A.S;SONA;VR;VIA LIGURIA, 82;37060;0456090145;dallepezzesabina@gmail.com;;;;;;
AZIENDA;AUTOFFICINA SGANZERLA MAURIZIO;SALIZZOLE;VR;VIA ISOLANA 664;37056;0456954002;mauriziosganz@gmail.com;;5;24-06-2019;;;
AZIENDA;TURCO FEDERICO OFF.MECC RIPARAZIONI;SAN GIOVANNI LUPATOTO;VR;VIA MONTE CIMONE 7;37057;045546478;;;1;07-06-2019;;45.20.10;Riparazioni meccaniche di autoveicoli
AZIENDA;AUTOMAH S.R.L.;ZEVIO;VR;VIA MAESTRI DEL LAVORO 18;37059;0456661770;Info@automah.it;www.automah.it;17;;;33.20.03;Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (inc
AZIENDA;OFFICINA MECCANICA ELETTRAUTO F.LLI CHESINI C. E  V. SNC;PESCANTINA;VR;VIA CORNO MOZZO 14;37026;0456767409;officinachesini@libero.it;;5;27-05-2019;;45.20.1;Riparazioni meccaniche di autoveicoli
AZIENDA;AUTOPRESTIGE SRL;VERONA;VR;CORSO VENEZIA, 97;37131;0452585743;matmiz98@gmail.com;www.autoprestigeverona.it;;;;;
AZIENDA;AUTORICAMBI COSTA DI COSTA GIUSEPPE;RIBERA;AG;VIA CONCERIA, 8;92016;;;;;;;453200;
AZIENDA;AUTORICAMBI RACING SRL;VERONA;VR;COLONELLO FINCATO 264;37131;045 528345;info@negrente.com;;;10-05-2019;;;
AZIENDA;AUTORIPARAZIONI SGANZERLA MASSIMO;SALIZZOLE;VR;VIA ISOLANA 692;37056;0456954028;;;2;;;45.20.10;Riparazioni meccaniche di autoveicoli
AZIENDA;AUTOSCUOLA ARENA DI MARTORANA BENEDETTO E C. SAS;VERONA;VR;VIA PO 25;37100;;autoscuolaarena@hotmail.com;;;23-05-2019;LOGISTICA;85.53;Attività delle scuole guida
AZIENDA;AUTOTEAM SPA;LEGNAGO;VR;VIA MANTOVA 16/A;37045;044224800;graziano.ghirotti@autoteam.it;www.autoteam.it;70;;;45.11.01;Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri
AZIENDA;AUTOTRASPORTI BOMMARTINI SRL;SOAVE;VR;VIA SERENISSIMA 50;37038;0456108311;bommartini@bommartini.it;www.bommartini.it;135;01-06-2019;;49.41;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI CORSI GIUSEPPE;S.MARTINO B.A.;VR;VIA CORSO 2, 37036;37036;045990250;autotrasporticorsi@libero.it;;4;;;49.41.00;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI CTV VERONA S.R.L.;ZEVIO;VR;VIA CARDUCCI 4A;37059;0458738818;amministrazione@ctvtrasporti.it;www.ctvtrasporti.it;;;;;
AZIENDA;AUTOTRASPORTI DETO.VE SRL;BUTTAPIETRA;VR;VIA MARCONI7/A;37060;04518779038;info@detoveautotrasporti.it;;5;;;49.41;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI TEZZA CLEMENTE SRL;GREZZANA;VR;VIA NICOLO'MARCOZENI 12;37023;045907434;info@tezzaautotrasporti.it;www.tezzaautotrasporti.it;18;10-05-2019;;49.41;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI TURATTI;BUTTAPIETRA;VR;LARGO LAGORAI, 3;37060;0456150088;mamife@libero.it;;;;;;
AZIENDA;AUTOTRASPORTI VARONE DOMENICO;BUTTAPIETRA;VR;VIA ISOLA DELLA SCALA;37060;0456660471;silvia@treviensrl.com;;;;;;
AZIENDA;AUTO ZUG SERVICE SRLS;VERONA;VR;VIA NICCOLO' COPERNICO;37100;0458203341;autozugservice@gmail.com;;;02-05-2019;;;
AZIENDA;AVESANI DARIO IMPIANTI ELETTRICI;CASELLE DI SOMMACAMPAGNA;VR;VIA VERONA, 32;37066;0458580031;avesani.dario@tiscali.it;http://www.impiantielettriciavesani.it/index.html;;15-02-2016;;;
AZIENDA;AVV.ALBERTO POGGI;VERONA;VR;VICOLO GHIAIA,7;37122;0458065183;segreteria@lpsavvocati.com;;1;;;;
AZIENDA;AVV.FRANCESCA PASETTO;S.PIETRO INCARIANO;VR;VIA DELLE PIEVE 63;37029;3282129760;;;;;;;
AZIENDA;AVV.MIRKO ZAMBALDO;VERONA;VR;STRA.NE PORTA PALIO,68;37100;0458030278;studio.legale@zamik.it;;;;;;LEGALE
AZIENDA;AVVOCATO AUDISIO ANTONELLA;VERONA;VR;VIA DANIELE MANIN, 5;37122;045592599;avvantonellaaudisio@gmail.com;;;;;;
AZIENDA;QUAIATO RENZO;CASTEL D'AZZANO;VR;VIA BOSCO 18;37060;045512364;amministrazione@floricolturaquaiato.com;http://www.floricolturaquaiato.com/;9;;;01.19.20;Coltivazione di fiori in colture protette
AZIENDA;AZIENDA AGRICOLA AMBROSI S.S.;TREGNAGO;VR;VIA SCORGNANO, 18;37039;3495328761;nicola.bonomi@gmail.com;;;;;;
AZIENDA;AZIENDA AGRICOLA POGGI GIORGIO;AFFI;VR;VIA POGGI 7;37010;0457236222;cantinepoggi8@gmail.com;www.cantinepoggi.com;6;04-05-2018;;01.21.00;Coltivazione di uva
AZIENDA;AZIENDA VINICOLA FARINA SRL;S.PIETRO INCARIANO;VR;VIA BOLLA 11;37029;0457701349;info@farinawines.com;www.farinawines .com;13;;;;
AZIENDA;B! SPA;VERONA;VR;VIA ROVEGGIA 83;37136;0458288111;ottavio.gandini@bspa.it;;;;;;
AZIENDA;B&C LAVORAZIONI INOX SAS;S.GIOVANNI PUPATOTO;VR;VIA TICINO,11;37057;045546005;b.e.c.lavorazioni@alice.it;;2;;;;CARPENTERIA METALLICA
AZIENDA;B.F. AUTOMATION SRL;BELFIORE;VR;V.LE DEL PROGRESSO;37050;0456100928;info@bfautomation.it;www.bfautomation.it;15;;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;BALZARIN S.R.L.;VERONA;VR;VIA GERMANIA 11;37136;0458620017;info@balzarin.it;www.balzarin.com;18;;;25.50.00;Fucinatura, imbutitura, stampaggio e profilatura dei metalli  metallurgia delle polveri
AZIENDA;BCUBE;VERONA;VR;VIA GUMPERT 1;37100;3371511576;marco.nicoletti@bcube.com;www.bcube.net;;26-06-2019;;22.22;Fabbricazione di imballaggi in materie plastiche
AZIENDA;BDF TRANS SRL;VERONA;VR;VIA SOMMACAMPAGNA 26;37137;0458082622;bdf@bdftrans.it;www.bdftrans.it;;;;;
AZIENDA;BDX SOUND PRODUCTS DI GIANNINI CARLO;CALDIERO;VR;VIA VAGO 3;37042;045982006;info@bdxsound.com;www.bdxsound.com;2;;;46.43.1;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
AZIENDA;BE DIFFERENT SRL;VERONA;VR;VIA A.DOMINUTTI,20;37135;0458538775;hr@dodifferent.it;;14;27-05-2019;INFORMATICA;60.01.00;
